,id,lai,wetness,treeSpecies,Sentinel_2A_B2,Sentinel_2A_B3,Sentinel_2A_B4,Sentinel_2A_B5,Sentinel_2A_B6,Sentinel_2A_B7,Sentinel_2A_B8,Sentinel_2A_B8a,Sentinel_2A_B11,Sentinel_2A_B12
36,36,5.7,0.32,pine,0.028928774482493185,0.11220669928635503,0.0319005799390989,0.16314636989351458,0.46517021969241823,0.5304943084167978,0.5325273321367071,0.5329808976101812,0.26152035402057133,0.10975444194737795
37,37,5.9,0.25,beech,0.031971156480206285,0.11306954199306385,0.03263193943437821,0.1635668885754061,0.454121421866129,0.5155257345719885,0.5179180033714108,0.5185210019766653,0.24991095063075777,0.10247944913651905
38,38,3.4,0.38,oak,0.034263826545613205,0.11593319129525383,0.0357536247400781,0.16762569395241672,0.4184704476798022,0.46842679384137703,0.47536061710971544,0.47786525115115835,0.23484160170016444,0.09381501899771094
39,39,4.0,0.61,predominantly_oak,0.03670555685247372,0.12294978496330244,0.03789882366526845,0.17458606887242367,0.43319057114847864,0.48308723879768917,0.48770604409655993,0.48925696569050364,0.2347893868378956,0.09423278512964038
40,40,6.1,0.51,predominantly_pine,0.030463835876637608,0.10750760492074507,0.030859179126570633,0.15754914431950076,0.4495358789451491,0.5145193611653496,0.5184598605216243,0.5197045167216257,0.25463199727686026,0.10480315021359334
41,41,2.0,0.31,mixed,0.03300150086166729,0.11112093852448117,0.034937017845548105,0.16083152115032756,0.38781552122886165,0.4268867770288443,0.4319496863039921,0.4337528022090906,0.22911804683907394,0.09231788736515698
42,42,6.4,0.28,predominantly_beech,0.03802971407744428,0.13062972172390624,0.04101180056956698,0.18418757744313355,0.4442041274745901,0.4952491859961674,0.5002865165154089,0.5019482738365101,0.23613077846827685,0.09525002938601902
43,43,4.5,0.33,mixed,0.03326379678025501,0.11558249818336408,0.034910781523333045,0.16691832962749023,0.4294437139705967,0.4828789992494891,0.488599580606765,0.4905685166243648,0.23388809481153053,0.09280135573136354
44,44,7.8,0.35,mixed,0.02858605438016528,0.10368433681552876,0.02996762719071234,0.15276146413978237,0.45141766857674454,0.523972787546525,0.5289454805028977,0.5305552616884783,0.25564016372742315,0.10715327019754718
45,45,5.2,0.5,predominantly_beech,0.03235307448971023,0.11045199648614455,0.03254082476885959,0.16013078373845893,0.4376519449034684,0.4968857805795799,0.5010093731746132,0.5022826592690979,0.23156887849550642,0.09189109673156552
46,46,3.3,0.3,beech,0.03416946230764394,0.12662604413020137,0.03882696153366869,0.17948349160120272,0.43595693588903717,0.4820513165220342,0.4859876417591568,0.4872608598976321,0.24226600884820218,0.09884366314356116
47,47,4.9,0.41,mixed,0.03476580458413568,0.11960444841775716,0.0363813042437963,0.17131645486777464,0.4360431224878914,0.4896071644603991,0.49475183273798884,0.4964819405660082,0.2364525885286681,0.09487642680910426
48,48,2.6,0.03,beech,0.033672096913727044,0.12111281669165053,0.03689034839486276,0.17360579498842985,0.4402555559852029,0.49089361136342696,0.4955720159247896,0.4971131233487389,0.2695025967598627,0.12142118093489875
49,49,7.8,0.54,mixed,0.0314488631111673,0.11148316236726698,0.032818142986142225,0.16225031288107478,0.44479191183138,0.507958663298461,0.5132857933500935,0.5150507191818773,0.24360131567549692,0.0989220385086524
50,50,5.6,0.21,mixed,0.03380929766137989,0.11447149470966363,0.034344949270358416,0.16524616135197284,0.43255606344824693,0.4882346023993907,0.4933987840084993,0.49512263601548095,0.2327889422405609,0.09225034075961061
